amount,currency,timestamp,device_id,ip_address,country,brand,source
197.87,AUD,2026-01-30T14:43:24Z,dev_16ab625bca,144.203.193.84,AU,Mastercard,mobile_app
11.73,GBP,2026-03-16T10:18:28Z,dev_586e7953f8,35.18.133.15,GB,Visa,mobile_app
104.79,EUR,2026-02-05T05:52:44Z,dev_8abdef3d0c,17.12.33.233,DE,Mastercard,api
165.33,AUD,2026-02-06T03:42:02Z,dev_0c319a51ec,39.14.21.20,AU,RuPay,api
900.8,INR,2026-02-09T22:13:08Z,dev_d9610a9995,110.20.126.151,IN,Mastercard,web_checkout
27.66,EUR,2026-06-03T14:36:09Z,dev_04b4880d89,137.86.110.10,DE,Visa,mobile_app
1267.2,INR,2026-03-12T00:53:25Z,dev_da86540d80,91.80.119.143,IN,Visa,api
26.07,GBP,2026-01-22T19:36:19Z,dev_f1ec338004,29.189.205.3,GB,Visa,web_checkout
67.82,EUR,2026-06-29T22:14:54Z,dev_473d8d18cf,209.138.246.1,DE,Amex,mobile_app
2008.8,INR,2026-01-11T23:04:47Z,dev_604b3a412c,34.94.237.104,IN,Mastercard,pos_terminal
3308.8,INR,2026-05-18T13:44:05Z,dev_c7b275b7a6,41.117.242.191,IN,Mastercard,mobile_app
63.72,EUR,2026-05-02T09:44:37Z,dev_07fa220323,98.147.245.195,DE,Visa,web_checkout
72.23,GBP,2026-06-23T10:52:43Z,dev_709ed047b8,17.104.0.173,GB,Mastercard,web_checkout
22.18,GBP,2026-01-10T10:27:48Z,dev_6d5c51aae9,151.39.35.167,GB,RuPay,api
36.15,JPY,2026-06-11T18:41:26Z,dev_20096ead50,189.189.95.187,JP,Mastercard,api
96.39,EUR,2026-01-23T14:05:14Z,dev_ee305bd6fa,153.217.207.156,DE,RuPay,api
43.57,JPY,2026-02-11T14:57:11Z,dev_da90984d7a,31.37.157.36,JP,RuPay,mobile_app
92.44,EUR,2026-01-15T08:31:54Z,dev_08cc294836,155.246.163.185,DE,Amex,web_checkout
68.98,USD,2026-03-08T00:00:08Z,dev_34be65c69c,157.219.120.154,US,RuPay,web_checkout
56.56,USD,2026-02-05T03:16:54Z,dev_d5ebcc16f4,127.251.163.212,US,Amex,pos_terminal
8.11,USD,2026-02-17T15:16:19Z,dev_28db7fde2d,55.90.201.37,US,RuPay,pos_terminal
42.53,GBP,2026-05-04T07:08:59Z,dev_8716ed34c2,169.223.196.170,GB,Mastercard,api
3189.6,INR,2026-04-01T23:40:11Z,dev_9ee473a3ce,164.123.103.220,IN,Mastercard,pos_terminal
50.32,AUD,2026-05-22T05:35:48Z,dev_3cee152fef,16.73.62.108,AU,Amex,mobile_app
62.75,AUD,2026-05-25T17:12:08Z,dev_b3bbe13cec,167.206.225.225,AU,RuPay,mobile_app
87.97,GBP,2026-01-06T03:41:02Z,dev_5c97c58d0b,50.101.240.253,GB,Visa,api
196.27,GBP,2026-05-12T19:29:14Z,dev_b16be70f46,9.2.236.183,GB,RuPay,pos_terminal
277.9,AUD,2026-05-18T07:54:13Z,dev_3c88df29e5,114.140.201.85,AU,Visa,web_checkout
23.83,JPY,2026-06-02T09:33:35Z,dev_07534eb4e6,48.198.164.66,JP,RuPay,pos_terminal
39.11,AUD,2026-06-10T02:06:11Z,dev_7a8feaabb2,73.156.157.18,AU,Mastercard,api
2655.2,INR,2026-05-10T13:17:53Z,dev_b359ea15ad,2.76.62.161,IN,Mastercard,web_checkout
29.25,AUD,2026-04-29T05:55:16Z,dev_edcbc23f6c,193.243.179.249,AU,RuPay,web_checkout
220.99,JPY,2026-03-10T18:05:03Z,dev_315e114e27,101.214.228.136,JP,Visa,pos_terminal
3167.2,INR,2026-04-07T12:37:58Z,dev_449be0979d,27.152.149.140,IN,RuPay,mobile_app
27.56,AUD,2026-04-05T05:23:52Z,dev_39e309a3d9,36.24.169.213,AU,Visa,pos_terminal
66.46,AUD,2026-04-27T11:11:00Z,dev_e4044a7629,65.224.247.243,AU,RuPay,api
172.74,USD,2026-03-11T03:35:42Z,dev_f0ae7bf391,47.177.52.34,US,Visa,api
16956.8,INR,2026-01-25T15:27:34Z,dev_401f49a0e8,163.115.4.169,IN,Visa,pos_terminal
3780.8,INR,2026-03-11T14:22:06Z,dev_174eda2ff6,102.13.205.131,IN,Visa,web_checkout
39.7,JPY,2026-06-02T23:13:23Z,dev_61a387e0cc,88.137.211.81,JP,Visa,api
147.84,AUD,2026-03-04T11:29:04Z,dev_bbd5a24e66,72.36.94.60,AU,Mastercard,web_checkout
4987.2,INR,2026-03-24T07:34:30Z,dev_540b83d0f0,118.212.67.8,IN,Amex,mobile_app
93.38,GBP,2026-06-27T09:17:37Z,dev_769ed38cc1,196.126.71.102,GB,RuPay,web_checkout
77.23,EUR,2026-04-06T00:59:07Z,dev_ede4b6f1f7,117.9.41.24,DE,Amex,api
204.08,GBP,2026-05-11T10:12:57Z,dev_8c8f03d392,204.248.210.254,GB,Amex,mobile_app
3384.0,INR,2026-02-01T04:46:38Z,dev_d7e19f7629,97.53.80.129,IN,Amex,pos_terminal
23.94,JPY,2026-06-12T18:21:38Z,dev_4d1559e946,197.227.219.126,JP,RuPay,web_checkout
17.15,USD,2026-05-05T01:40:25Z,dev_f74c0b344c,87.77.156.44,US,Amex,pos_terminal
66.17,GBP,2026-02-14T05:35:32Z,dev_33874f28b9,74.28.43.254,GB,RuPay,pos_terminal
81.66,GBP,2026-04-01T10:00:27Z,dev_044ae960f9,95.57.33.27,GB,RuPay,api
1876.8,INR,2026-04-29T13:20:00Z,dev_eef9b35ad6,35.117.1.88,IN,Amex,web_checkout
115.86,AUD,2026-01-07T19:01:45Z,dev_09d07fe185,21.190.176.25,AU,Mastercard,mobile_app
90.14,EUR,2026-03-06T04:18:52Z,dev_2d700a74cc,4.224.142.88,DE,Amex,web_checkout
30.44,EUR,2026-06-07T21:25:59Z,dev_eb5f7b39d1,129.7.198.177,DE,Visa,mobile_app
36.82,JPY,2026-04-12T20:06:14Z,dev_f2aee64277,20.30.88.112,JP,Visa,pos_terminal
108.27,AUD,2026-05-27T06:59:37Z,dev_fad2f9d247,168.184.144.30,AU,Mastercard,pos_terminal
17.09,USD,2026-05-13T14:50:05Z,dev_c9d882e2a1,49.80.234.236,US,Visa,api
120.38,JPY,2026-05-22T09:07:39Z,dev_80013b06be,139.102.232.66,JP,Visa,api
