transaction_external_id,amount,card_brand,billing_country,ip_address,device_type,email_domain,card_country
tx_00000001,47.94,DISCOVER,MEX,190.229.140.23,desktop,yahoo.com,MEX
tx_00000002,12.51,AMEX,BRA,108.57.115.151,mobile,gmail.com,BRA
tx_00000003,65.44,AMEX,DEU,27.24.98.25,mobile,hotmail.com,AUS
tx_00000004,312.45,AMEX,IND,76.213.161.159,mobile,yahoo.com,IND
tx_00000005,1081.98,MASTERCARD,CAN,117.163.214.94,mobile,icloud.com,CAN
tx_00000006,2087.45,MASTERCARD,JPN,42.119.98.70,mobile,gmail.com,JPN
tx_00000007,22.75,DISCOVER,MEX,168.128.102.227,desktop,outlook.com,MEX
tx_00000008,12.3,VISA,NLD,57.36.131.127,mobile,yahoo.com,NLD
tx_00000009,16.78,VISA,IND,120.136.65.249,mobile,yahoo.com,IND
tx_00000010,76.75,AMEX,CAN,41.117.1.245,tablet,outlook.com,CAN
tx_00000011,37.2,VISA,JPN,40.96.196.42,mobile,edu.org,JPN
tx_00000012,24.89,MASTERCARD,CAN,209.18.251.195,desktop,edu.org,CAN
tx_00000013,41.79,AMEX,ITA,52.183.80.103,mobile,edu.org,ITA
tx_00000014,14.55,VISA,DEU,2.19.182.162,desktop,gmail.com,DEU
tx_00000015,8.22,DISCOVER,NLD,63.201.122.207,desktop,yahoo.com,NLD
tx_00000016,58.24,DISCOVER,USA,252.166.26.16,mobile,yahoo.com,USA
tx_00000017,20.37,VISA,FRA,224.237.20.114,desktop,gmail.com,FRA
tx_00000018,80.58,AMEX,IND,98.1.253.100,tablet,edu.org,GBR
tx_00000019,9.62,VISA,BRA,40.49.76.56,mobile,gmail.com,BRA
tx_00000020,60.12,MASTERCARD,ESP,15.246.131.21,desktop,yahoo.com,ESP
tx_00000021,56.39,AMEX,DEU,11.159.21.108,tablet,icloud.com,DEU
tx_00000022,58.38,VISA,BRA,81.238.193.240,desktop,yahoo.com,BRA
tx_00000023,13.15,AMEX,CAN,73.41.113.214,mobile,gmail.com,AUS
tx_00000024,74.53,MASTERCARD,GBR,228.28.191.142,mobile,icloud.com,GBR
tx_00000025,61.29,DISCOVER,SGP,233.217.14.24,mobile,gmail.com,SGP
tx_00000026,51.97,MASTERCARD,IND,29.20.242.227,mobile,company.com,IND
tx_00000027,43.94,MASTERCARD,ITA,231.92.54.175,mobile,company.com,USA
tx_00000028,22.97,DISCOVER,ESP,205.208.46.226,desktop,company.com,ESP
tx_00000029,90.54,VISA,DEU,202.180.28.98,mobile,icloud.com,DEU
tx_00000030,7.53,AMEX,BRA,85.72.222.18,mobile,proton.me,BRA
tx_00000031,2692.6,VISA,FRA,247.252.68.10,mobile,company.com,FRA
tx_00000032,68.61,VISA,IND,66.12.182.112,mobile,icloud.com,DEU
tx_00000033,27.79,AMEX,AUS,32.185.231.77,mobile,company.com,AUS
tx_00000034,28.18,AMEX,IND,232.45.158.146,mobile,gmail.com,IND
tx_00000035,22.91,DISCOVER,AUS,114.173.55.131,mobile,outlook.com,AUS
tx_00000036,55.62,MASTERCARD,CAN,193.61.173.80,mobile,outlook.com,CAN
tx_00000037,26.78,DISCOVER,BRA,184.179.99.127,desktop,gmail.com,BRA
tx_00000038,2.44,DISCOVER,JPN,218.32.117.35,mobile,company.com,JPN
tx_00000039,78.04,DISCOVER,JPN,41.191.221.122,mobile,icloud.com,JPN
tx_00000040,88.89,AMEX,DEU,20.183.74.61,mobile,yahoo.com,DEU
tx_00000041,15.06,VISA,CAN,85.139.120.107,desktop,proton.me,CAN
tx_00000042,2701.64,DISCOVER,NLD,2.242.91.77,mobile,proton.me,NLD
tx_00000043,48.03,AMEX,SGP,112.125.8.100,mobile,proton.me,SGP
tx_00000044,519.28,VISA,JPN,101.152.145.170,desktop,proton.me,JPN
tx_00000045,10.21,AMEX,DEU,87.195.226.98,mobile,proton.me,DEU
tx_00000046,9473.03,VISA,AUS,18.200.246.167,mobile,icloud.com,AUS
tx_00000047,17.27,VISA,DEU,66.197.95.43,mobile,outlook.com,DEU
tx_00000048,9.97,MASTERCARD,IND,20.152.177.213,desktop,hotmail.com,DEU
tx_00000049,191.38,VISA,ITA,137.110.170.95,mobile,company.com,ITA
tx_00000050,7.49,DISCOVER,AUS,213.118.182.40,desktop,hotmail.com,AUS
tx_00000051,556.24,VISA,ESP,69.83.219.63,mobile,edu.org,ESP
tx_00000052,14.84,AMEX,USA,84.47.125.55,mobile,company.com,USA
tx_00000053,13.07,MASTERCARD,JPN,62.185.105.126,mobile,edu.org,CAN
tx_00000054,33.13,AMEX,DEU,149.95.122.142,mobile,company.com,DEU
tx_00000055,21.93,MASTERCARD,MEX,31.191.138.244,desktop,edu.org,MEX
tx_00000056,13.1,VISA,CAN,59.93.46.78,mobile,outlook.com,FRA
tx_00000057,51.05,DISCOVER,SGP,4.147.73.121,mobile,outlook.com,SGP
tx_00000058,118.53,VISA,CAN,19.148.162.176,desktop,hotmail.com,CAN
tx_00000059,12.92,DISCOVER,NLD,58.199.134.98,tablet,hotmail.com,NLD
tx_00000060,13.89,MASTERCARD,ITA,55.68.170.21,desktop,yahoo.com,ITA
