transaction_external_id,transaction_timestamp,amount,card_brand,billing_country,ip_address,device_type,email_domain,card_country
tx_20230304_000001,04-03-2023 04:03,10.63,VISA,BRA,140.23.152.109,desktop,icloud.com,BRA
tx_20180810_000002,10-08-2018 18:23,56.76,VISA,IND,151.72.208.223,mobile,outlook.com,IND
tx_20231030_000003,30-10-2023 15:23,25.61,AMEX,CAN,92.217.89.155,mobile,edu.org,CAN
tx_20220105_000004,05-01-2022 04:32,153.95,VISA,NLD,148.50.181.18,mobile,hotmail.com,AUS
tx_20161122_000005,22-11-2016 08:28,111.69,VISA,GBR,54.172.69.180,mobile,outlook.com,GBR
tx_20211227_000006,27-12-2021 08:54,13.15,VISA,JPN,84.216.197.199,desktop,gmail.com,JPN
tx_20250110_000007,10-01-2025 11:29,29.97,DISCOVER,MEX,168.128.102.227,desktop,outlook.com,MEX
tx_20181007_000008,07-10-2018 20:26,48.95,VISA,AUS,36.131.127.24,mobile,outlook.com,AUS
tx_20230114_000009,14-01-2023 05:49,95,VISA,SGP,249.142.221.242,mobile,yahoo.com,SGP
tx_20230824_000010,24-08-2023 19:33,283.13,AMEX,GBR,245.185.225.185,tablet,outlook.com,GBR
tx_20210910_000011,10-09-2021 03:52,99.15,VISA,GBR,42.139.245.200,mobile,edu.org,GBR
tx_20160320_000012,20-03-2016 04:04,90.36,MASTERCARD,CAN,125.209.18.251,desktop,edu.org,CAN
tx_20220301_000013,01-03-2022 06:00,30.45,DISCOVER,DEU,103.172.167.96,mobile,edu.org,DEU
tx_20170510_000014,10-05-2017 09:01,16.7,VISA,DEU,182.162.16.59,tablet,company.com,DEU
tx_20161017_000015,17-10-2016 18:43,8.22,DISCOVER,NLD,63.201.122.207,desktop,yahoo.com,NLD
tx_20230523_000016,23-05-2023 15:41,2133.64,VISA,BRA,104.187.87.205,desktop,icloud.com,BRA
tx_20220105_000017,05-01-2022 16:20,15.93,VISA,CAN,221.220.141.26,mobile,gmail.com,CAN
tx_20170117_000018,17-01-2017 08:36,10.76,DISCOVER,USA,1.253.100.68,mobile,edu.org,USA
tx_20170926_000019,26-09-2017 06:54,1960.44,VISA,JPN,41.15.246.131,mobile,yahoo.com,JPN
tx_20220903_000020,03-09-2022 02:28,56.39,AMEX,DEU,11.159.21.108,tablet,icloud.com,DEU
tx_20230706_000021,06-07-2023 11:26,16.18,VISA,AUS,3.118.160.145,desktop,icloud.com,CAN
tx_20210903_000022,03-09-2021 09:39,12.61,VISA,FRA,214.140.181.78,mobile,hotmail.com,FRA
tx_20230610_000023,10-06-2023 03:46,42.02,AMEX,DEU,219.68.130.126,tablet,gmail.com,DEU
tx_20170113_000024,13-01-2017 23:05,12253.43,DISCOVER,BRA,190.114.142.181,mobile,yahoo.com,GBR
tx_20161104_000025,04-11-2016 05:25,61.57,VISA,GBR,94.231.239.204,mobile,icloud.com,GBR
tx_20230825_000026,25-08-2023 09:05,59.58,MASTERCARD,NLD,237.239.61.222,tablet,outlook.com,NLD
tx_20251119_000027,19-11-2025 15:00,81.43,DISCOVER,ESP,121.57.52.210,mobile,icloud.com,ESP
tx_20180702_000028,02-07-2018 00:51,2433.32,AMEX,AUS,103.174.252.216,tablet,yahoo.com,AUS
tx_20251101_000029,01-11-2025 09:30,22.28,MASTERCARD,AUS,252.131.30.99,mobile,proton.me,AUS
tx_20160107_000030,07-01-2016 18:55,208.51,AMEX,BRA,111.18.243.171,mobile,yahoo.com,BRA
tx_20240127_000031,27-01-2024 10:56,38.11,MASTERCARD,JPN,108.171.241.98,mobile,hotmail.com,JPN
tx_20200721_000032,21-07-2020 19:56,90.44,MASTERCARD,NLD,120.114.114.173,mobile,outlook.com,NLD
tx_20230522_000033,22-05-2023 03:05,2880,VISA,DEU,58.207.51.38,desktop,edu.org,DEU
tx_20221108_000034,08-11-2022 02:39,17.48,VISA,IND,63.38.168.177,mobile,yahoo.com,IND
tx_20240923_000035,23-09-2024 15:28,2.44,DISCOVER,JPN,218.32.117.35,mobile,company.com,JPN
tx_20240620_000036,20-06-2024 16:06,78.04,DISCOVER,JPN,41.191.221.122,mobile,icloud.com,JPN
tx_20250602_000037,02-06-2025 23:12,5.53,AMEX,SGP,74.61.70.86,mobile,yahoo.com,SGP
tx_20170720_000038,20-07-2017 05:29,1519,DISCOVER,JPN,16.53.214.108,tablet,gmail.com,JPN
tx_20250810_000039,10-08-2025 20:57,11.77,MASTERCARD,IND,189.140.205.155,mobile,hotmail.com,IND
tx_20201120_000040,20-11-2020 17:40,9.59,DISCOVER,GBR,252.160.137.7,mobile,gmail.com,GBR
tx_20161209_000041,09-12-2016 23:24,13.31,DISCOVER,AUS,84.87.195.226,mobile,proton.me,AUS
