transaction_external_id,amount,card_brand,billing_country,ip_address,device_type,email_domain,card_country,created_at,is_fraud
tx_1009943,16.23,VISA,USA,54.169.160.30,desktop,gmail.com,USA,2026-06-23T09:09:39.787084+00:00,0
tx_1005256,246.21,VISA,USA,62.148.180.92,desktop,hotmail.com,USA,2026-06-22T20:38:56.787084+00:00,0
tx_1008585,37.99,,USA,113.83.231.217,desktop,gmail.com,USA,2026-06-28T00:28:05.787084+00:00,0
tx_1004387,75.75,MASTERCARD,USA,220.158.84.127,mobile,gmail.com,USA,2026-06-21T13:49:32.787084+00:00,0
tx_1009621,56.5,MASTERCARD,IND,73.90.187.64,tablet,gmail.com,IND,2026-06-08T19:21:47.787084+00:00,0
tx_1002618,167.64,MASTERCARD,FRA,95.187.13.244,tablet,yahoo.com,FRA,2026-06-30T07:23:47.787084+00:00,0
tx_1009113,12.19,VISA,USA,159.99.84.42,mobile,gmail.com,USA,2026-06-22T16:18:13.787084+00:00,0
tx_1004742,66.6,VISA,IND,11.76.18.11,desktop,acme.com,IND,2026-06-26T11:52:08.787084+00:00,0
tx_1000640,16.03,VISA,USA,8.242.80.137,mobile,yahoo.com,USA,2026-06-17T05:05:45.787084+00:00,0
tx_1008521,105.17,VISA,FRA,121.166.224.18,desktop,yahoo.com,FRA,2026-06-11T13:03:29.787084+00:00,0
tx_1001518,14.34,,CAN,24.193.64.191,mobile,hotmail.com,CAN,2026-06-16T19:46:25.787084+00:00,0
tx_1006144,55.64,MASTERCARD,USA,62.63.220.215,mobile,hotmail.com,USA,2026-06-27T06:22:09.787084+00:00,0
tx_1004995,65.23,VISA,USA,202.112.254.173,desktop,hotmail.com,USA,2026-06-15T02:49:13.787084+00:00,0
tx_1003336,39.52,VISA,CAN,187.197.27.253,mobile,anonymous.org,CAN,2026-06-09T09:02:16.787084+00:00,1
tx_1008403,78.58,MASTERCARD,USA,58.143.130.230,desktop,gmail.com,USA,2026-06-18T23:18:13.787084+00:00,0
tx_1006008,96.4,AMERICAN EXPRESS,USA,82.182.130.189,mobile,yahoo.com,USA,2026-06-09T17:48:54.787084+00:00,0
tx_1005836,82.38,DISCOVER,USA,219.213.175.196,desktop,gmail.com,USA,2026-06-28T16:22:32.787084+00:00,0
tx_1008642,20.82,VISA,USA,17.158.175.39,mobile,yahoo.com,USA,2026-06-19T20:12:35.787084+00:00,0
tx_1004505,44.9,MASTERCARD,USA,43.207.195.178,desktop,gmail.com,USA,2026-06-13T06:12:21.787084+00:00,0
tx_1004197,12.58,VISA,GBR,60.118.196.24,desktop,gmail.com,GBR,2026-07-04T03:29:43.787084+00:00,0
tx_1007253,187.14,VISA,USA,9.66.38.12,desktop,gmail.com,USA,2026-06-25T00:03:40.787084+00:00,1
tx_1005628,16.38,VISA,CHN,37.167.198.232,desktop,hotmail.com,CHN,2026-06-08T18:25:23.787084+00:00,0
tx_1005821,82.17,MASTERCARD,USA,10.224.0.16,mobile,outlook.com,USA,2026-07-03T17:41:47.787084+00:00,0
tx_1008073,43.91,DISCOVER,IND,36.133.48.25,tablet,gmail.com,IND,2026-06-19T18:30:50.787084+00:00,0
tx_1000256,132.46,AMERICAN EXPRESS,USA,33.34.120.200,desktop,yahoo.com,USA,2026-06-24T07:44:14.787084+00:00,0
tx_1003993,239.17,MASTERCARD,USA,168.199.101.1,desktop,acme.com,USA,2026-07-05T18:56:34.787084+00:00,0
tx_1007813,60.3,VISA,USA,136.254.1.29,desktop,hotmail.com,USA,2026-07-03T18:44:05.787084+00:00,0
tx_1001870,48.18,VISA,USA,93.174.0.157,desktop,gmail.com,USA,2026-07-05T15:01:03.787084+00:00,0
tx_1008117,3.33,MASTERCARD,USA,155.199.244.155,desktop,gmail.com,USA,2026-06-18T09:55:38.787084+00:00,0
tx_1009675,24.57,AMERICAN EXPRESS,USA,137.33.92.126,desktop,gmail.com,USA,2026-06-13T08:21:33.787084+00:00,0
tx_1004129,4.56,MASTERCARD,MEX,3.233.58.112,desktop,startup.io,MEX,2026-06-18T06:14:12.787084+00:00,0
tx_1005496,219.7,MASTERCARD,USA,73.62.53.238,mobile,yahoo.com,USA,2026-06-15T20:13:17.787084+00:00,0
tx_1009166,37.24,VISA,USA,128.21.200.38,desktop,yahoo.com,USA,2026-06-29T01:21:32.787084+00:00,0
tx_1001110,125.15,VISA,USA,121.181.23.2,mobile,gmail.com,USA,2026-06-18T20:27:56.787084+00:00,0
tx_1001428,100.27,MASTERCARD,USA,113.181.239.129,desktop,outlook.com,USA,2026-06-20T11:06:10.787084+00:00,0
tx_1005806,6.17,VISA,IND,136.182.209.159,desktop,gmail.com,IND,2026-06-25T03:14:20.787084+00:00,0
tx_1002893,18.34,AMERICAN EXPRESS,USA,88.75.23.93,desktop,gmail.com,USA,2026-06-25T08:53:46.787084+00:00,0
tx_1003665,42.42,DISCOVER,USA,190.83.70.233,mobile,yahoo.com,USA,2026-06-15T21:55:17.787084+00:00,0
tx_1005678,23.25,VISA,USA,48.65.166.24,desktop,gmail.com,USA,2026-06-19T10:20:23.787084+00:00,0
tx_1007286,18.51,VISA,USA,140.82.135.170,desktop,gmail.com,USA,2026-06-17T23:39:18.787084+00:00,0
tx_1006913,28.41,VISA,USA,123.192.132.119,desktop,yahoo.com,USA,2026-07-03T11:33:36.787084+00:00,0
tx_1001528,28.34,MASTERCARD,USA,223.19.148.42,desktop,hotmail.com,USA,2026-06-13T21:29:17.787084+00:00,0
tx_1001140,49.49,VISA,USA,155.132.54.112,desktop,yahoo.com,USA,2026-07-02T11:31:37.787084+00:00,0
tx_1004703,45.6,DISCOVER,USA,71.9.121.6,desktop,gmail.com,USA,2026-06-18T21:42:44.787084+00:00,0
tx_1002531,52.71,VISA,USA,200.9.21.242,desktop,outlook.com,USA,2026-06-15T21:43:25.787084+00:00,0
tx_1002907,57.8,VISA,USA,2.144.171.246,mobile,gmail.com,USA,2026-06-28T16:50:23.787084+00:00,0
tx_1009341,48.05,VISA,USA,114.151.85.114,mobile,gmail.com,USA,2026-06-16T17:14:06.787084+00:00,0
tx_1007217,69.55,VISA,USA,174.78.80.50,desktop,gmail.com,USA,2026-06-07T06:53:16.787084+00:00,0
tx_1001362,360.5,MASTERCARD,USA,134.136.248.122,tablet,outlook.com,USA,2026-06-22T21:36:08.787084+00:00,0
tx_1002398,18.95,MASTERCARD,GBR,123.10.50.34,desktop,hotmail.com,GBR,2026-06-19T01:45:02.787084+00:00,0
tx_1007293,6.89,VISA,USA,32.171.216.121,desktop,gmail.com,USA,2026-06-14T11:51:06.787084+00:00,0
tx_1002218,58.24,,MEX,101.84.251.123,desktop,gmail.com,MEX,2026-07-03T18:20:52.787084+00:00,0
tx_1008507,16.03,VISA,USA,28.198.169.43,mobile,gmail.com,USA,2026-06-17T16:49:16.787084+00:00,0
tx_1005588,58.53,MASTERCARD,USA,88.198.194.6,mobile,gmail.com,USA,2026-06-06T20:58:52.787084+00:00,0
tx_1001264,12.05,AMERICAN EXPRESS,USA,117.122.189.208,desktop,gmail.com,USA,2026-06-24T14:45:12.787084+00:00,0
tx_1006309,41.1,VISA,USA,86.18.135.68,mobile,gmail.com,USA,2026-06-11T15:01:18.787084+00:00,0
tx_1002306,72.52,MASTERCARD,USA,115.109.118.26,desktop,yahoo.com,USA,2026-06-10T12:28:02.787084+00:00,0
tx_1008896,66.73,VISA,USA,207.186.26.135,tablet,yahoo.com,USA,2026-06-16T19:57:34.787084+00:00,0
tx_1002688,87.59,MASTERCARD,USA,178.254.8.199,mobile,gmail.com,USA,2026-06-11T06:08:34.787084+00:00,0
tx_1000605,7.56,MASTERCARD,USA,130.68.255.2,mobile,gmail.com,USA,2026-07-02T06:51:11.787084+00:00,0
tx_1007691,62.94,VISA,USA,153.218.228.253,desktop,yahoo.com,USA,2026-06-13T08:59:20.787084+00:00,0
tx_1009888,61.32,VISA,USA,14.1.38.113,,yahoo.com,USA,2026-06-10T16:33:38.787084+00:00,0
tx_1001162,187.29,VISA,USA,198.136.77.219,desktop,hotmail.com,USA,2026-07-01T13:24:13.787084+00:00,0
tx_1001580,27.67,VISA,USA,93.106.200.26,desktop,gmail.com,USA,2026-06-30T09:02:00.787084+00:00,0
tx_1001926,57.72,VISA,CAN,79.81.156.122,desktop,gmail.com,CAN,2026-06-27T21:24:38.787084+00:00,0
tx_1001671,13.35,VISA,USA,75.51.252.95,mobile,gmail.com,USA,2026-06-19T21:32:36.787084+00:00,0
tx_1001301,26.61,AMERICAN EXPRESS,USA,117.177.152.101,desktop,acme.com,USA,2026-07-06T07:09:45.787084+00:00,0
tx_1001495,22.14,VISA,USA,29.251.86.254,desktop,yahoo.com,USA,2026-06-11T21:15:04.787084+00:00,0
tx_1001815,71.19,DISCOVER,IND,39.240.34.251,desktop,acme.com,IND,2026-06-06T19:27:40.787084+00:00,0
tx_1003744,40.11,VISA,USA,181.75.224.60,desktop,outlook.com,USA,2026-06-11T14:38:21.787084+00:00,0
tx_1002857,70.23,VISA,USA,192.22.185.59,desktop,yahoo.com,USA,2026-06-27T22:15:25.787084+00:00,0
tx_1006282,134.38,VISA,USA,31.219.58.23,mobile,acme.com,USA,2026-06-23T04:52:47.787084+00:00,0
tx_1002554,149.15,VISA,USA,141.75.207.152,tablet,gmail.com,USA,2026-06-23T22:52:31.787084+00:00,0
tx_1007609,8.13,VISA,IND,9.42.248.199,desktop,yahoo.com,IND,2026-06-25T13:30:28.787084+00:00,0
tx_1007707,261.61,VISA,USA,129.254.49.20,mobile,gmail.com,USA,2026-06-28T22:34:20.787084+00:00,0
tx_1009267,45.75,VISA,USA,57.122.252.233,desktop,hotmail.com,USA,2026-06-16T13:15:19.787084+00:00,0
tx_1001616,46.43,VISA,USA,195.160.159.182,desktop,gmail.com,USA,2026-06-28T13:54:28.787084+00:00,0
tx_1004125,92.22,VISA,FRA,57.212.4.61,mobile,gmail.com,FRA,2026-07-02T15:07:58.787084+00:00,0
tx_1004274,18.54,VISA,FRA,88.29.155.181,desktop,yahoo.com,FRA,2026-06-10T05:27:09.787084+00:00,0
tx_1000445,17.66,AMERICAN EXPRESS,USA,128.36.6.253,mobile,gmail.com,USA,2026-06-24T01:38:37.787084+00:00,0
tx_1002299,70.53,VISA,USA,146.30.5.29,tablet,hotmail.com,USA,2026-06-22T22:16:23.787084+00:00,0
tx_1005639,10.96,VISA,USA,61.108.180.10,desktop,gmail.com,USA,2026-07-01T21:01:08.787084+00:00,0
tx_1001272,12.75,VISA,USA,135.247.253.122,mobile,gmail.com,USA,2026-06-19T13:34:02.787084+00:00,0
tx_1002250,47.19,VISA,USA,152.21.251.251,mobile,hotmail.com,USA,2026-06-08T01:39:18.787084+00:00,0
tx_1003407,19.82,VISA,USA,90.166.55.179,mobile,gmail.com,USA,2026-07-05T20:12:20.787084+00:00,0
tx_1005703,36.13,VISA,USA,139.116.120.223,desktop,yahoo.com,USA,2026-06-11T11:11:10.787084+00:00,0
tx_1009369,52.06,VISA,USA,199.213.159.163,desktop,gmail.com,USA,2026-06-21T03:23:32.787084+00:00,0
tx_1006814,19.45,VISA,USA,202.93.46.62,mobile,yahoo.com,USA,2026-07-01T21:47:33.787084+00:00,0
tx_1005674,8.54,MASTERCARD,USA,194.34.187.28,desktop,acme.com,USA,2026-06-30T19:07:25.787084+00:00,0
tx_1001657,8.96,MASTERCARD,USA,119.14.13.246,mobile,gmail.com,USA,2026-06-26T23:20:22.787084+00:00,0
tx_1007227,94.99,MASTERCARD,GBR,80.190.18.85,desktop,outlook.com,GBR,2026-06-25T06:14:00.787084+00:00,0
tx_1002955,145.94,VISA,USA,163.171.102.93,desktop,gmail.com,USA,2026-06-18T04:28:17.787084+00:00,0
tx_1004718,10.61,VISA,USA,201.112.108.134,desktop,gmail.com,USA,2026-06-30T02:52:25.787084+00:00,0
tx_1004635,31.01,MASTERCARD,IND,210.229.7.27,tablet,acme.com,IND,2026-06-20T21:45:52.787084+00:00,0
tx_1008575,58.22,VISA,USA,208.121.11.150,mobile,yahoo.com,USA,2026-06-30T11:22:40.787084+00:00,0
tx_1008527,86.36,VISA,USA,122.179.17.215,mobile,yahoo.com,USA,2026-06-15T15:10:15.787084+00:00,0
tx_1002433,28.55,VISA,USA,104.97.129.177,mobile,startup.io,USA,2026-06-12T18:17:14.787084+00:00,0
tx_1009343,62.44,MASTERCARD,USA,193.68.221.69,mobile,gmail.com,USA,2026-06-25T09:27:32.787084+00:00,0
tx_1000255,216.72,MASTERCARD,USA,94.81.15.37,desktop,hotmail.com,USA,2026-07-06T00:48:27.787084+00:00,0
tx_1006434,81.3,,USA,92.251.253.156,mobile,yahoo.com,USA,2026-07-05T23:59:50.787084+00:00,0
tx_1004987,130.17,MASTERCARD,USA,89.87.190.244,mobile,hotmail.com,USA,2026-06-28T01:25:02.787084+00:00,0
tx_1000314,8.13,VISA,USA,76.98.89.157,mobile,yahoo.com,USA,2026-06-26T05:21:51.787084+00:00,0
tx_1005287,27.91,MASTERCARD,GBR,85.167.197.176,desktop,hotmail.com,GBR,2026-06-22T08:13:45.787084+00:00,0
tx_1008378,310.3,MASTERCARD,USA,31.210.144.202,mobile,gmail.com,USA,2026-06-20T00:52:22.787084+00:00,0
tx_1008474,68.38,MASTERCARD,GBR,113.91.254.125,,gmail.com,GBR,2026-07-04T03:18:44.787084+00:00,0
tx_1008898,36.32,VISA,USA,14.204.2.213,tablet,gmail.com,USA,2026-07-03T06:35:16.787084+00:00,0
tx_1001063,18.04,MASTERCARD,CHN,100.165.50.207,tablet,gmail.com,CHN,2026-06-30T05:54:46.787084+00:00,0
tx_1009732,15.12,MASTERCARD,CAN,120.203.54.179,desktop,gmail.com,CAN,2026-07-06T07:29:27.787084+00:00,0
tx_1002042,42.44,VISA,USA,218.129.183.210,desktop,hotmail.com,USA,2026-06-23T05:46:51.787084+00:00,0
tx_1009179,85.23,VISA,USA,116.4.111.116,desktop,yahoo.com,USA,2026-06-10T09:37:35.787084+00:00,0
tx_1002548,60.63,VISA,CAN,145.28.208.160,desktop,gmail.com,CAN,2026-06-07T15:41:06.787084+00:00,0
tx_1008432,23.21,MASTERCARD,USA,21.211.99.100,desktop,yahoo.com,USA,2026-06-28T03:29:05.787084+00:00,0
tx_1001036,143.51,MASTERCARD,USA,55.243.187.179,mobile,gmail.com,USA,2026-07-05T03:36:43.787084+00:00,0
tx_1000802,261.13,MASTERCARD,USA,60.194.50.232,desktop,gmail.com,USA,2026-06-21T20:28:00.787084+00:00,0
tx_1009862,203.76,VISA,USA,153.159.58.210,desktop,gmail.com,USA,2026-06-15T02:40:02.787084+00:00,0
tx_1003990,5.76,MASTERCARD,USA,185.4.233.196,,gmail.com,USA,2026-06-17T09:38:00.787084+00:00,0
tx_1007986,38.37,VISA,USA,35.247.82.167,desktop,gmail.com,USA,2026-06-21T08:30:01.787084+00:00,0
tx_1002313,33.73,VISA,USA,100.176.184.98,desktop,gmail.com,USA,2026-06-07T12:48:40.787084+00:00,0
tx_1004040,32.56,VISA,USA,183.0.237.75,desktop,startup.io,USA,2026-07-04T17:35:30.787084+00:00,0
tx_1007577,32.23,VISA,USA,212.104.207.100,mobile,acme.com,USA,2026-06-27T07:18:59.787084+00:00,0
tx_1003765,69.85,VISA,USA,104.61.140.76,mobile,yahoo.com,USA,2026-06-07T20:16:36.787084+00:00,0
tx_1000184,18.3,MASTERCARD,IND,81.218.160.171,mobile,gmail.com,IND,2026-06-18T21:54:07.787084+00:00,0
tx_1000179,17.8,VISA,USA,103.218.55.126,desktop,acme.com,USA,2026-06-28T01:43:17.787084+00:00,0
tx_1006104,19.07,VISA,USA,127.216.81.29,mobile,hotmail.com,USA,2026-06-16T02:52:28.787084+00:00,0
tx_1003329,28.99,AMERICAN EXPRESS,USA,38.237.127.1,mobile,yahoo.com,USA,2026-06-27T08:47:43.787084+00:00,0
tx_1008200,17.4,VISA,CAN,205.67.119.229,desktop,outlook.com,CAN,2026-07-03T18:36:00.787084+00:00,0
tx_1000006,25.52,MASTERCARD,USA,97.40.150.213,desktop,gmail.com,USA,2026-06-24T02:16:09.787084+00:00,0
tx_1006280,17.21,MASTERCARD,USA,30.8.146.22,desktop,gmail.com,USA,2026-06-24T11:50:19.787084+00:00,0
tx_1009858,46.99,MASTERCARD,CAN,51.75.117.159,desktop,hotmail.com,CAN,2026-06-11T20:41:05.787084+00:00,0
tx_1006962,66.47,VISA,USA,106.128.36.1,mobile,gmail.com,USA,2026-06-22T23:19:07.787084+00:00,0
