transaction_id,amount,timestamp,device_id,ip_address,country,brand,currency,merchant_id,merchant_category,user_id,is_fraud
T0000001,10.58,2026-07-14T08:25:56Z,DEV_d57d06482c41,62.177.59.144,IN,Visa,INR,M9935,Grocery,U21395,0
T0000002,45.04,2026-07-11T14:43:54Z,DEV_431a7a76c7ec,59.143.170.24,US,Visa,USD,M4257,Entertainment,U95181,0
T0000003,179.54,2026-07-29T14:32:39Z,DEV_5880b791be55,71.55.129.144,CA,RuPay,CAD,M6574,Healthcare,U46421,0
T0000004,33.28,2026-07-19T10:38:50Z,DEV_ebff5056c187,24.194.103.151,IN,Visa,INR,M5333,Utilities,U15695,0
T0000005,20.81,2026-07-04T19:48:31Z,DEV_ad3c9a6bae0a,141.82.136.241,IN,RuPay,INR,M6925,Electronics,U85674,0
T0000006,21.08,2026-07-15T01:09:41Z,DEV_29ddcb64accf,252.55.122.76,US,Mastercard,USD,M2654,Healthcare,U59823,0
T0000007,97.83,2026-07-18T05:55:13Z,DEV_854bd57077fd,53.162.64.174,GB,Amex,GBP,M2169,Utilities,U89840,0
T0000008,62.23,2026-07-23T10:34:19Z,DEV_0511b1a502e1,97.35.253.247,CA,Mastercard,CAD,M6313,Grocery,U17331,0
T0000009,94.98,2026-07-13T23:56:26Z,DEV_7b84900120cb,16.241.188.129,DE,RuPay,EUR,M9179,Fashion,U61856,0
T0000010,92.69,2026-07-07T18:40:52Z,DEV_edb8644cf609,63.34.250.248,GB,Amex,GBP,M8019,Fuel,U86484,0
T0000011,103.67,2026-07-05T09:55:01Z,DEV_7aa36e9f4a21,193.122.240.138,GB,RuPay,GBP,M7916,Entertainment,U88172,0
T0000012,76.6,2026-07-26T16:27:46Z,DEV_0c5f1143ba6a,64.92.172.236,AE,RuPay,AED,M5371,Restaurant,U94012,0
T0000013,23.33,2026-07-23T00:37:35Z,DEV_abec5df48a65,0.212.175.89,FR,Mastercard,EUR,M3927,Restaurant,U76542,0
T0000014,97.72,2026-07-08T10:04:14Z,DEV_7abb7be5c2b6,95.184.209.108,SG,Mastercard,SGD,M9689,Fashion,U10074,0
