transaction_external_id,amount,card_brand,billing_country,ip_address,device_type,email_domain,card_country
TXN-E1B012B8C5C0,44.63,DISCOVER,GBR,64.52.127.201,mobile,live.com,GBR
TXN-58B5CBEA4EFD,8132.56,AMEX,USA,16.14.229.212,mobile,10minutemail.com,RUS
TXN-BA70726481D9,29.88,AMEX,JPN,8.188.183.56,mobile,comcast.net,JPN
TXN-3C05B9E55C58,302.11,MASTERCARD,RUS,19.185.63.79,desktop,hotmail.com,RUS
TXN-3847F1C48151,86.38,MASTERCARD,USA,181.121.210.113,other,hotmail.com,USA
TXN-027CB6A2A443,512.3,MASTERCARD,USA,219.45.106.234,desktop,outlook.com,USA
TXN-DB20465816FB,147.07,VISA,USA,16.88.102.164,desktop,protonmail.com,USA
TXN-6FB39E43A8CC,48.85,VISA,CAN,71.125.230.126,mobile,gmail.com,CAN
TXN-ACA4C4F4E8E0,23.04,AMEX,KOR,186.29.8.48,desktop,yahoo.com,KOR
TXN-F73AA1DC36D8,40.49,MASTERCARD,GBR,172.5.14.24,tablet,me.com,GBR
TXN-6DFE908349AB,194.95,MASTERCARD,CAN,114.174.55.93,mobile,verizon.net,CAN
TXN-42944F33C433,111.07,VISA,GBR,183.189.57.2,mobile,cox.net,GBR
TXN-F8B55CE12BC4,261.85,VISA,CAN,133.155.25.107,mobile,gmail.com,CHN
TXN-D6481BAE62A0,170.71,AMEX,MEX,60.123.26.98,desktop,msn.com,MEX
TXN-9FE47E203165,14.44,VISA,MEX,22.111.241.116,mobile,live.com,MEX
TXN-C2F8E1E529A1,381.85,VISA,RUS,205.113.172.28,mobile,live.com,RUS
TXN-63EB4D424C4E,420.02,MASTERCARD,GBR,49.55.6.20,desktop,gmail.com,GBR
TXN-39299C3D9D5F,47.34,MASTERCARD,DEU,84.105.92.197,tablet,cox.net,DEU
TXN-646DBD682A7E,10.5,VISA,FRA,11.31.200.169,mobile,icloud.com,FRA
TXN-74B5B82EF078,232.86,VISA,GBR,165.197.56.218,desktop,msn.com,GBR
TXN-FABDCD20A3AA,45.37,AMEX,GBR,115.33.77.236,other,verizon.net,DEU
TXN-EC513D48C96B,56.02,AMEX,GBR,169.50.25.33,desktop,gmail.com,GBR
TXN-99F2B83AD2D9,273.5,VISA,CAN,26.20.201.64,desktop,icloud.com,CAN
TXN-6A23E328C447,202.63,AMEX,GBR,82.191.220.232,mobile,sbcglobal.net,DEU
TXN-B3C32615693A,55.39,VISA,IND,207.35.204.251,desktop,live.com,IND
TXN-B2A3FA9D4420,111.78,VISA,USA,202.65.132.12,desktop,me.com,USA
TXN-4B418173D0F2,84.63,VISA,GBR,56.78.212.158,mobile,sbcglobal.net,CAN
TXN-2D82382E9969,84.32,VISA,USA,34.1.59.144,tablet,sbcglobal.net,USA
TXN-AC63EC48B43C,41.05,VISA,GBR,71.224.162.61,mobile,comcast.net,GBR
TXN-80CC08558CD8,50.56,VISA,USA,59.27.105.144,desktop,att.net,USA
TXN-8F7BFA8768BE,162.11,MASTERCARD,USA,169.30.56.195,tablet,outlook.com,USA
TXN-B40C8006CBEA,7205.86,MASTERCARD,USA,202.74.224.198,other,trashmail.com,FRA
TXN-DFA3B6B4142E,200.0,VISA,USA,74.78.56.252,mobile,cox.net,USA
TXN-BA693166EA15,111.12,VISA,CHN,136.137.234.147,mobile,live.com,USA
TXN-2A62E3E1275A,721.88,MASTERCARD,USA,216.253.218.188,other,protonmail.com,USA
TXN-98A5422B2C5F,20.97,VISA,CAN,126.90.232.83,mobile,outlook.com,CAN
TXN-3CD6E238076D,16.15,DISCOVER,JPN,171.53.48.83,desktop,msn.com,JPN
TXN-C8CD1E58DD25,58.68,VISA,USA,149.92.0.87,desktop,outlook.com,USA
TXN-991B3F8EF160,43.88,AMEX,MEX,208.55.132.50,tablet,outlook.com,MEX
TXN-F02E01F347DC,34.15,VISA,USA,42.122.61.115,desktop,hotmail.com,USA
TXN-13709EAEDEBE,8.11,VISA,USA,104.6.136.17,mobile,outlook.com,BRA
TXN-EA5EE3F014B8,63.03,OTHER,DEU,188.42.174.13,desktop,comcast.net,DEU
TXN-3413C269EC6B,28.39,AMEX,CAN,113.6.215.68,desktop,icloud.com,CAN
TXN-2358EE4B6765,9858.2,VISA,GBR,219.253.200.146,mobile,sharklasers.com,DEU
TXN-FEC52CFFFA54,20.21,VISA,JPN,98.7.63.186,desktop,gmail.com,JPN
TXN-FCF87CA74A53,54.7,AMEX,NGA,148.202.151.56,desktop,hotmail.com,NGA
TXN-027AC184E2E8,65.35,AMEX,GBR,63.28.71.181,mobile,aol.com,GBR
TXN-192598BC6246,16.3,MASTERCARD,USA,174.1.124.146,mobile,hotmail.com,USA
TXN-45AF3E68028F,119.89,OTHER,USA,20.136.205.247,desktop,cox.net,USA
TXN-B5AF65458C12,1083.29,VISA,USA,199.201.191.208,tablet,live.com,USA
TXN-578CAF2AA1F5,269.19,VISA,USA,142.111.161.214,tablet,me.com,USA
TXN-D346DD48EE5C,307.93,VISA,GBR,200.209.199.61,other,aol.com,GBR
TXN-616C16442FB5,49.95,MASTERCARD,DEU,108.254.106.75,desktop,verizon.net,DEU
TXN-506F1E90E184,87.44,VISA,USA,101.229.180.209,mobile,protonmail.com,USA
TXN-3E2D011942E4,3570.4,MASTERCARD,DEU,49.241.5.71,tablet,trashmail.com,JPN
TXN-0FDAC9BD5D16,30.27,DISCOVER,GBR,183.127.187.139,tablet,outlook.com,GBR
TXN-7C5B3F138BA5,43.7,AMEX,GBR,71.112.118.180,mobile,verizon.net,GBR
TXN-A575932AA8CC,591.92,VISA,AUS,22.69.25.65,desktop,verizon.net,NGA
TXN-A10630374702,78.66,VISA,USA,21.211.9.230,desktop,yahoo.com,USA
TXN-41744D0D29D7,169.42,MASTERCARD,USA,93.84.93.167,desktop,hotmail.com,IND
TXN-90A126161F61,24.68,VISA,FRA,140.63.237.91,desktop,icloud.com,FRA
TXN-D6FF8B362BCB,45.61,VISA,IND,4.104.255.39,desktop,aol.com,IND
TXN-A303487E861A,136.9,VISA,ZAF,37.38.6.193,desktop,protonmail.com,ZAF
TXN-25F0E202BC72,296.82,VISA,DEU,175.180.241.9,mobile,live.com,BRA
TXN-A6BD764AECA8,11.63,VISA,CAN,8.172.154.213,desktop,comcast.net,CAN
TXN-1CA089D26547,77.66,MASTERCARD,DEU,165.191.225.206,mobile,gmail.com,DEU
TXN-26F35CE3DD73,328.61,VISA,USA,222.141.240.245,other,gmail.com,USA
TXN-71922CD02BA9,256.67,MASTERCARD,CHN,183.139.35.9,mobile,att.net,CHN
TXN-7787AB0A9882,31.8,MASTERCARD,USA,206.219.88.179,desktop,hotmail.com,USA
TXN-B9B84A9DCB52,52.12,AMEX,DEU,96.25.206.87,desktop,me.com,DEU
TXN-4584572B69B3,16.83,MASTERCARD,GBR,83.198.217.124,mobile,me.com,GBR
TXN-F8259CD35B34,55.09,DISCOVER,GBR,40.224.204.178,desktop,msn.com,IND
TXN-15F365B4BD64,62.69,MASTERCARD,USA,214.171.107.66,mobile,sbcglobal.net,USA
TXN-C90DF07C8332,25.95,VISA,AUS,174.250.149.80,desktop,aol.com,AUS
TXN-B6D76DB8638E,40.07,VISA,DEU,108.244.41.99,tablet,gmail.com,DEU
TXN-C9CD3D5C0344,102.82,OTHER,AUS,205.113.120.9,mobile,protonmail.com,AUS
TXN-A38A49F3AAAD,286.83,VISA,GBR,91.224.80.190,desktop,msn.com,GBR
TXN-453D8EE5AC7F,232.3,MASTERCARD,GBR,215.107.96.15,mobile,yahoo.com,GBR
TXN-054533F0BA3D,174.54,VISA,CAN,19.38.133.66,desktop,me.com,CAN
TXN-74F2B9322C9E,140.94,VISA,DEU,8.8.48.113,desktop,att.net,DEU
TXN-34222212B247,42.12,DISCOVER,GBR,174.219.49.168,desktop,cox.net,GBR
TXN-1802EAB4CCCD,516.8,DISCOVER,NGA,13.209.107.136,mobile,tempmail.org,FRA
TXN-F06D7B8B2D23,32.23,DISCOVER,USA,44.135.174.160,other,att.net,USA
TXN-C34E1296BBAB,7.79,VISA,DEU,31.52.31.48,mobile,yahoo.com,DEU
TXN-4B2617401FF2,53.24,VISA,USA,133.107.112.169,tablet,sbcglobal.net,USA
TXN-F7EB67902C10,118.06,OTHER,AUS,126.144.223.91,desktop,msn.com,AUS
TXN-D9A2F34D1A15,283.94,VISA,DEU,71.74.184.14,tablet,yahoo.com,DEU
TXN-C8DC46BC121E,45.83,AMEX,AUS,97.94.203.6,mobile,msn.com,AUS
TXN-90CA9CB12E0D,108.12,VISA,USA,57.77.37.200,tablet,live.com,USA
TXN-5860C10C46EA,7174.2,VISA,KOR,113.34.192.201,desktop,10minutemail.com,BRA
TXN-D4ED63756D7B,8.93,AMEX,USA,218.210.202.48,desktop,hotmail.com,USA
TXN-466DFDA020EF,73.12,MASTERCARD,MEX,43.210.178.82,mobile,hotmail.com,MEX
TXN-BAF5868DC67A,3761.65,VISA,USA,37.52.102.195,desktop,throwaway.email,NGA
TXN-EBF6E8C62131,144.36,AMEX,USA,28.192.231.143,mobile,msn.com,USA
TXN-01966E1BBE45,112.23,VISA,DEU,14.132.146.176,desktop,protonmail.com,AUS
TXN-D51498EF12E5,27.36,MASTERCARD,IND,148.143.156.74,mobile,gmail.com,CHN
TXN-EC7A7E8B61E4,332.37,OTHER,USA,108.200.87.97,desktop,att.net,USA
TXN-8124777F4B1E,32.97,DISCOVER,JPN,119.84.134.209,desktop,msn.com,JPN
TXN-F1ED60CB442A,54.24,MASTERCARD,CAN,173.38.93.45,tablet,aol.com,CAN
TXN-9D8B8E9A8733,55.01,MASTERCARD,CAN,122.253.247.202,tablet,icloud.com,CAN
TXN-C8140FC31E1A,161.05,MASTERCARD,IND,116.2.171.121,desktop,me.com,IND
TXN-80F16C09327C,185.42,AMEX,CAN,61.185.217.173,other,verizon.net,CAN
TXN-B78A6EB726E6,280.05,VISA,USA,221.161.39.111,other,gmail.com,RUS
TXN-D6ED8AB83DC3,23.78,VISA,USA,95.160.104.169,other,yahoo.com,USA
TXN-CA031C7498C7,49.09,MASTERCARD,USA,66.23.240.214,desktop,msn.com,USA
TXN-157ED646E819,29.77,VISA,JPN,88.216.241.68,desktop,hotmail.com,JPN
TXN-525B1823D4B7,103.0,OTHER,USA,60.226.231.250,desktop,comcast.net,USA
TXN-37C011127C85,11.63,MASTERCARD,CAN,47.171.24.194,desktop,sbcglobal.net,CAN
TXN-424BBB523579,5199.09,VISA,NGA,132.184.93.1,desktop,trashmail.com,BRA
TXN-3E15F2C86563,73.79,AMEX,USA,17.133.138.79,desktop,yahoo.com,USA
TXN-C7F4A28A2C38,166.85,VISA,USA,37.5.37.168,mobile,me.com,USA
TXN-1BA564C41A21,96.26,MASTERCARD,DEU,202.99.232.191,mobile,cox.net,DEU
TXN-63A261956BEB,30.28,VISA,GBR,180.19.72.86,mobile,outlook.com,GBR
TXN-DD9B08CF7497,3104.55,VISA,USA,73.17.114.222,desktop,throwaway.email,BRA
TXN-AB07E45974C7,278.95,AMEX,USA,12.158.70.213,tablet,cox.net,RUS
TXN-A9E44A6D5DBE,133.97,MASTERCARD,USA,76.164.33.39,other,icloud.com,DEU
TXN-4A0FDF13BDA1,1448.21,VISA,USA,23.97.110.208,mobile,verizon.net,USA
TXN-25A0A2D269DC,123.86,AMEX,DEU,178.138.252.198,tablet,comcast.net,DEU
TXN-379F587DAE8A,105.96,AMEX,FRA,7.241.39.38,desktop,att.net,FRA
TXN-22323DFC6700,8863.67,MASTERCARD,GBR,183.177.10.20,desktop,yopmail.com,IND
TXN-453362040D0B,106.97,OTHER,USA,58.215.185.29,other,yahoo.com,USA
TXN-B5A7A575D6BE,23.24,MASTERCARD,GBR,147.48.104.214,mobile,me.com,GBR
TXN-C9995D2E2A0F,1789.34,VISA,USA,186.130.184.41,tablet,getnada.com,JPN
TXN-5DF67186C702,65.55,DISCOVER,ZAF,61.94.243.103,mobile,verizon.net,ZAF
TXN-33F56F76F772,88.16,VISA,USA,62.203.181.150,desktop,live.com,USA
TXN-F033D6682B59,141.95,VISA,CAN,12.86.26.207,desktop,att.net,CAN
TXN-8C3C2FF5E38B,151.88,AMEX,USA,44.126.242.20,mobile,comcast.net,USA
TXN-B98CA0F6EDA2,18.32,AMEX,CAN,80.205.169.138,tablet,live.com,CAN
TXN-6D7C314D47B4,77.49,VISA,USA,52.213.87.246,other,verizon.net,USA
TXN-B0F9B0BF03F8,9.77,AMEX,DEU,128.20.247.250,tablet,live.com,DEU
TXN-07AA557EA465,519.26,MASTERCARD,GBR,120.95.237.208,mobile,comcast.net,GBR
TXN-10264CFFD08D,27.29,DISCOVER,IND,184.47.168.51,mobile,verizon.net,IND
TXN-4A47478DF9CB,602.62,VISA,CAN,40.104.233.200,mobile,aol.com,CAN
TXN-524B7D19DA3B,128.1,MASTERCARD,IND,107.128.223.249,mobile,att.net,IND
TXN-F2700C8879C1,86.21,DISCOVER,AUS,10.252.197.247,tablet,verizon.net,AUS
TXN-8C9FDB032C8E,269.06,VISA,NGA,42.43.76.164,mobile,yahoo.com,NGA
TXN-E7BA9552A5CC,12.81,MASTERCARD,ZAF,92.60.124.14,mobile,msn.com,FRA
TXN-4A476E495E25,113.63,AMEX,DEU,191.80.206.134,tablet,me.com,DEU
TXN-01CD87ED00C2,374.89,VISA,JPN,206.178.163.111,mobile,yahoo.com,JPN
TXN-CE7C6D81B517,5028.44,VISA,CAN,104.181.215.24,mobile,yopmail.com,IND
TXN-C48D0CD1AE06,395.29,MASTERCARD,FRA,27.187.243.253,mobile,live.com,FRA
TXN-950FC5180FE1,80.04,AMEX,USA,28.155.190.191,mobile,comcast.net,USA
TXN-12E123691946,102.63,MASTERCARD,AUS,115.46.210.26,desktop,hotmail.com,AUS
TXN-6AF49D0939DB,53.62,VISA,CAN,177.11.170.240,tablet,comcast.net,CAN
TXN-4FF1052799BE,132.46,MASTERCARD,CAN,206.66.86.108,desktop,hotmail.com,CAN
TXN-12737F1D4564,12.36,VISA,USA,219.204.241.195,desktop,cox.net,USA
TXN-10170977AA31,40.49,VISA,GBR,42.8.159.22,desktop,sbcglobal.net,GBR
TXN-3A58EBC2E116,1263.62,DISCOVER,IND,37.170.103.105,other,tempmail.org,BRA
TXN-CAB629C9DB71,93.46,VISA,RUS,209.144.212.200,desktop,yahoo.com,RUS
TXN-C82AF3482DC2,55.14,VISA,USA,60.94.163.231,mobile,hotmail.com,MEX
TXN-6CCA935BF192,97.76,VISA,FRA,63.147.213.112,desktop,icloud.com,FRA
TXN-BD19021416F5,93.47,MASTERCARD,CAN,133.169.7.93,tablet,yahoo.com,USA
TXN-7F95244E495B,39.16,AMEX,RUS,8.37.38.5,desktop,att.net,RUS
TXN-7F88941F81B5,15.6,AMEX,MEX,62.222.102.253,desktop,cox.net,MEX
TXN-37CB48F652F8,65.16,OTHER,GBR,27.20.175.187,desktop,cox.net,GBR
TXN-1209C4230524,287.65,VISA,USA,189.99.249.44,mobile,yahoo.com,USA
TXN-78BA0F4E1F05,29.3,MASTERCARD,FRA,126.179.148.142,desktop,att.net,FRA
TXN-303B58481BA8,1815.62,AMEX,CHN,132.56.55.203,desktop,guerrillamail.com,USA
TXN-9A7D78A8C4F7,327.58,VISA,USA,101.247.251.178,other,verizon.net,USA
TXN-0FEF271BC9CC,195.27,MASTERCARD,AUS,140.225.156.83,mobile,gmail.com,AUS
TXN-AA5FFDEA9D70,127.44,VISA,AUS,68.122.131.108,other,aol.com,AUS
TXN-3339B1192B8A,47.41,AMEX,USA,118.102.22.92,mobile,me.com,USA
TXN-AA6C5C4CF043,31.33,MASTERCARD,USA,194.210.173.16,tablet,outlook.com,USA
TXN-77DC21A84845,187.78,AMEX,BRA,21.89.169.30,mobile,msn.com,BRA
TXN-7305ABB84154,131.87,OTHER,ZAF,186.61.103.142,desktop,hotmail.com,ZAF
TXN-726859D76308,492.88,VISA,FRA,155.60.54.187,desktop,sbcglobal.net,FRA
TXN-D9593D83F3F1,33.66,VISA,MEX,154.41.64.103,desktop,sbcglobal.net,MEX
TXN-5C122483F2F2,1277.71,VISA,CAN,29.192.63.204,mobile,sbcglobal.net,CAN
TXN-BC4516FB2E7D,543.92,VISA,USA,190.40.219.164,desktop,gmail.com,USA
TXN-F8430E96C387,3724.95,VISA,USA,112.5.187.129,mobile,guerrillamail.com,NGA
TXN-E8C01667D878,507.78,VISA,USA,119.61.153.152,other,hotmail.com,USA
TXN-45C0F868D937,61.3,VISA,DEU,76.67.58.194,mobile,hotmail.com,DEU
TXN-E8DB456E8691,44.17,MASTERCARD,NGA,112.218.238.131,other,comcast.net,NGA
TXN-7BB3037FA50A,37.53,VISA,CAN,89.210.161.9,desktop,outlook.com,RUS
TXN-D2E5E0ABB738,353.09,VISA,AUS,15.64.148.17,tablet,comcast.net,AUS
TXN-840533277D6A,717.56,OTHER,USA,185.83.189.136,desktop,outlook.com,USA
TXN-5B6512DC6371,23.61,VISA,DEU,87.50.217.3,other,live.com,DEU
TXN-CD52BEF2CFBE,250.5,AMEX,AUS,41.239.99.136,mobile,cox.net,AUS
TXN-71A5F01C57A3,17.39,VISA,GBR,184.149.122.58,desktop,sbcglobal.net,GBR
TXN-66E43EB33F09,28.68,MASTERCARD,CAN,213.96.50.167,desktop,comcast.net,USA
TXN-39DBA0365249,282.32,VISA,JPN,7.223.105.123,mobile,live.com,DEU
TXN-C746DFF0A3A8,147.7,VISA,AUS,219.217.172.57,mobile,icloud.com,AUS
TXN-078AFE40BC85,75.8,VISA,GBR,95.75.224.244,desktop,live.com,GBR
TXN-AA1231734337,254.52,AMEX,FRA,156.98.2.23,tablet,live.com,FRA
TXN-31A7396522E1,81.83,VISA,USA,175.57.80.242,mobile,live.com,USA
TXN-ECBF83A61A26,137.75,VISA,USA,76.250.52.247,mobile,sbcglobal.net,USA
TXN-8E7AC8CE3623,394.37,MASTERCARD,KOR,7.219.55.149,mobile,cox.net,KOR
TXN-C5CFAC9FF126,31.67,VISA,IND,31.183.207.99,desktop,msn.com,IND
TXN-6152BA5805C3,30.3,VISA,DEU,146.98.13.221,desktop,hotmail.com,DEU
TXN-2C836784BB81,145.74,VISA,CAN,127.93.112.190,desktop,aol.com,CAN
TXN-E48F52F58FD2,74.51,VISA,KOR,209.224.155.161,desktop,sbcglobal.net,KOR
TXN-4D14F9D6B777,47.12,MASTERCARD,USA,20.186.222.18,mobile,sbcglobal.net,USA
TXN-FC0B43BE28CB,41.85,VISA,CAN,205.164.161.125,tablet,cox.net,CAN
TXN-357097573389,14.89,MASTERCARD,DEU,179.120.204.50,mobile,icloud.com,DEU
TXN-53DAC1FC622B,10.71,DISCOVER,USA,59.170.131.62,desktop,outlook.com,USA
TXN-9FB54B7560C2,28.11,OTHER,GBR,8.93.48.155,desktop,att.net,GBR
TXN-E442739EBE02,90.84,AMEX,USA,21.159.203.95,other,aol.com,BRA
TXN-36FD649E4565,92.37,VISA,AUS,183.105.7.252,desktop,sbcglobal.net,AUS
TXN-20B79FBDBFFE,20.58,OTHER,MEX,126.105.158.209,tablet,aol.com,MEX
TXN-EE14380C5C77,186.21,MASTERCARD,JPN,166.83.122.125,other,yahoo.com,JPN
